[2024-06-01 19:15:25.952]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-01 19:15:26.098]	 Already installed "tmux-resurrect"
[2024-06-01 19:15:26.111]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-01 19:15:26.221]	 Updating all plugins!
[2024-06-01 19:15:26.222]	 
[2024-06-01 19:15:27.035]	   "tmux-resurrect" update success
[2024-06-01 19:15:27.037]	     | Already up to date.
[2024-06-01 19:15:27.049]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-01 19:15:27.097]	 Done.

[2024-06-01 19:16:20.742]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-01 19:16:20.755]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-01 19:16:20.891]	 Already installed "tmux-resurrect"
[2024-06-01 19:16:20.903]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-01 19:16:21.016]	 Updating all plugins!
[2024-06-01 19:16:21.016]	 
[2024-06-01 19:16:21.755]	   "tmux-resurrect" update success
[2024-06-01 19:16:21.757]	     | Already up to date.
[2024-06-01 19:16:21.770]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-01 19:16:21.817]	 Done.

[2024-06-01 19:16:28.455]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-01 19:16:28.467]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-01 19:16:28.606]	 Already installed "tmux-resurrect"
[2024-06-01 19:16:28.619]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-01 19:16:28.734]	 Updating all plugins!
[2024-06-01 19:16:28.734]	 
[2024-06-01 19:16:29.513]	   "tmux-resurrect" update success
[2024-06-01 19:16:29.515]	     | Already up to date.
[2024-06-01 19:16:29.527]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-01 19:16:29.570]	 Done.

